Station,Camera,CameraName,Species,TrapAndCamera,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
CT2,7, CT2,Pecari tajacu,CT2_7,2021-12-04 17:47:23,2021-12-04,17:47:23,602668,10044,167.4,7.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/02,02a5b930-6238-4447-b24d-326f2fe03c08.jpg
CT2,7, CT2,Pecari tajacu,CT2_7,2021-12-04 17:47:23,2021-12-04,17:47:23,602668,10044,167.4,7.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/02,02a5b930-6238-4447-b24d-326f2fe03c08.jpg
CT2,7, CT2,Pecari tajacu,CT2_7,2021-12-04 17:47:23,2021-12-04,17:47:23,602668,10044,167.4,7.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/02,02a5b930-6238-4447-b24d-326f2fe03c08.jpg
CT2,7, CT2,Urocyon cinereoargenteus,CT2_7,2021-12-06 04:16:07,2021-12-06,04:16:07,761352,12689,211.5,8.8,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/ce,ce9d2b71-9ff9-42a3-8e0c-22fbf736c8ae.jpg
CT2,7, CT2,Didelphis marsupialis,CT2_7,2021-12-07 01:26:03,2021-12-07,01:26:03,1915640,31927,532.1,22.2,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/8b,8b152f24-f1bb-4187-abc3-4e6c36ae1dbf.jpg
CT2,7, CT2,Urocyon cinereoargenteus,CT2_7,2021-12-07 01:26:03,2021-12-07,01:26:03,76196,1269,21.2,0.9,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/8b,8b152f24-f1bb-4187-abc3-4e6c36ae1dbf.jpg
CT2,7, CT2,Odocoileus virginianus,CT2_7,2021-12-07 06:26:00,2021-12-07,06:26:00,0,0,0.0,0.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/d9,d98fb1c0-5f32-49ed-a90c-51b0d87562f2.jpg
CT2,7, CT2,Urocyon cinereoargenteus,CT2_7,2021-12-07 06:26:00,2021-12-07,06:26:00,17997,299,5.0,0.2,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/d9,d98fb1c0-5f32-49ed-a90c-51b0d87562f2.jpg
CT2,7, CT2,Sciurus sp,CT2_7,2021-12-07 10:22:54,2021-12-07,10:22:54,784678,13077,218.0,9.1,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/dc,dcb87b18-9846-4564-8b00-bee2487bdc67.jpg
CT2,7, CT2,Pecari tajacu,CT2_7,2021-12-08 19:02:02,2021-12-08,19:02:02,350079,5834,97.2,4.1,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/b7,b789be11-02f6-4911-8872-5ca5adf8e50b.jpg
CT2,7, CT2,Pecari tajacu,CT2_7,2021-12-08 19:02:02,2021-12-08,19:02:02,350079,5834,97.2,4.1,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/b7,b789be11-02f6-4911-8872-5ca5adf8e50b.jpg
CT2,7, CT2,Urocyon cinereoargenteus,CT2_7,2021-12-08 23:51:43,2021-12-08,23:51:43,149143,2485,41.4,1.7,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/8b,8b119e88-3994-4183-a5a7-4ca076b850ea.jpg
CT2,7, CT2,Sciurus sp,CT2_7,2021-12-10 10:21:09,2021-12-10,10:21:09,259095,4318,72.0,3.0,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/84,8444d146-9844-4773-bcd8-59b00eb3ea85.jpg
CT2,7, CT2,Pecari tajacu,CT2_7,2021-12-10 16:16:45,2021-12-10,16:16:45,162883,2714,45.2,1.9,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/c8,c80da2ce-430d-44a7-8725-40d6b9a558aa.jpg
CT2,7, CT2,Didelphis marsupialis,CT2_7,2021-12-11 23:59:52,2021-12-11,23:59:52,426829,7113,118.6,4.9,/Users/jenner/Library/Application Support/camelot/Datasets/default/Media/30,30c406d8-074a-41ed-8a31-286907fcbbcc.jpg
